cid,server_round,elapsed
B,1,0.4355269750001298
B,2,0.4157944139999472
B,3,0.46698054900002717
B,4,0.3509213560000717
B,5,0.35032723499989515
B,6,0.42904002599993873
B,7,0.35950384500006294
B,8,0.3519591270001001
B,9,0.3529324179999094
B,10,0.4586788400001751
B,11,0.35197573999994347
B,12,0.34995248900008846
B,13,0.3521251680001569
B,14,0.3519159469999522
B,15,0.4254169099999672
B,16,0.35126698099998066
B,17,0.5345802429999367
B,18,0.3529580399999759
B,19,0.4292810129998088
B,20,0.35155198200004634
